Year,HOMICIDE,ASSAULT,THEFT,NARCOTICS,BURGLARY,BATTERY,CRIM SEXUAL ASSAULT,ARSON,MOTOR VEHICLE THEFT,PROSTITUTION,CRIMINAL DAMAGE,ARRESTS,ALL,Police Personnel,Police Budget
2001,28.988590214658668,16.0609613130129,10.891653214319629,-1.5512870932446643,1.825028968713792,14.36277947275734,16.092251878725065,31.407754358574024,28.43296767847237,5.8399929744445425,6.058620787877062,9.230359282728363,9.269131130741533,7.342531801395163,-16.771862293190317
2002,27.05472829239992,16.571314455198024,9.844883732621337,0.8278203715457133,0.30612884031192544,15.226790712246325,17.906193314330142,34.27010148321623,17.113673129729005,12.549398436813911,6.227627918458807,8.911523971178516,9.496582049375522,5.617819039803042,-10.24178552230487
2003,16.80526010442854,9.015869024153023,10.458199042602512,5.693114606006559,-1.5181171901913473,8.158052866228795,2.6172583570873345,24.25188654696851,6.0507876420156625,9.142004039694388,4.465396264752519,9.003940003511806,7.058065227344055,4.149569142388187,-7.016387156732032
2004,-12.20266872945272,6.693392406093179,6.64424919146274,11.089911571963128,-3.8395289843725506,6.635630795514492,0.47939880798134826,1.2230028623471216,6.316520668901318,31.30763150961623,0.9561246095270649,11.402906176163437,5.575022244519862,0.501384899466562,-5.078872715218434
2005,-12.396054921678594,0.0957836694390977,-4.279242795779408,9.481775102309403,-0.15971939494534806,2.7561469014917117,-1.2697590049235494,-10.096278948737968,4.880629927133214,7.561254061649249,3.5842804378993742,8.49411155847316,2.038621660931649,-0.40905826836273645,-5.687501708116761
2006,-7.754786308257595,-4.04991105802123,-3.6636931859440196,8.658237902958888,-4.779054836992262,-1.2799849226367204,-6.5172324436382425,-5.5425448868071845,1.7104815362166212,23.5443927285501,8.475992442153037,4.239893536730747,0.7668313117348701,0.41162289700451843,7.682181974382706
2007,-13.36298588280797,-2.681572923177054,-4.8724494070726765,6.016299417099196,-2.6886098149134043,-2.5931351492255037,-2.306296968126452,-7.364038511579498,-13.412991081626654,6.911390181786247,2.067014175710447,1.5089997812820524,-1.7391783644906595,-0.6655211325400036,10.382694963927204
2008,-0.7928833881260922,-5.891620223297986,-1.2115490959464215,-9.457633586300084,2.639284707650875,-7.088196456085337,-2.7597823270277217,-16.21129326047359,-11.97710033985855,-9.70404847633266,0.34276165247196666,-15.343833848296006,-3.9731918383141185,-1.793957734919979,7.658993097232889
2009,-11.04235157609747,-15.4551943225062,-9.54437040222983,-15.232128464015517,4.780620713413301,-16.2141621966935,-10.274682560248763,-19.854280510018217,-27.823180311513696,-30.798278738912796,-9.374198877716694,-14.738508836512962,-11.719571690347285,-3.9995383668444764,9.202225334506599
2010,-15.29684780506672,-20.359022340893706,-14.26768029403386,-15.526109828322674,3.4339669913250477,-19.963922023597537,-13.967349054159104,-32.08430913348946,-11.291788849469228,-56.35373671730921,-22.80361941113358,-22.70939162525915,-16.772311731495428,-11.15485227739023,9.87031402551298
